drive_id,route_counter,wall_date,date,n_segs,n_elig,engaged_frac,weave_path,weave_steer,hunt_steer,centering_abs,centering_signed,spd_mph,sr_start,sr_end,aoa_start,aoa_end,stf,cal_yaw,cal_pitch,cal_roll,calperc_start,calperc_min,calperc_end,lc_kp,pi_set
route_16,22,1775431280.132508,2026-04-05 23:21,40,4,0.759125512395081,1.6353243383466185,0.7423123962703161,0.1050007639478251,0.2086540982127189,-0.173339769244194,56.93307294414521,16.835725784301758,17.11701202392578,-1.1299370527267456,-0.6126704812049866,0.9924793243408204,-2.874295949935913,2.5220344066619873,-0.0116847697645425,100.0,100.0,100.0,,unknown/manual
route_32,50,1775675681.218169,2026-04-08 19:14,28,0,0.9679238969358,,,,,,,16.50969123840332,16.606956481933594,-0.1117596328258514,-0.0601251423358917,0.9987257719039916,-3.1988961696624756,2.378232955932617,-0.0249822940677404,100.0,100.0,100.0,,unknown/manual
route_3a,58,1775822514.1785495,2026-04-10 12:01,11,3,0.5869718724255619,1.704731665984729,0.6785348262991282,0.1204176143408165,0.1091633215546608,-0.0870446860790252,62.01544825674058,16.425838470458984,16.34149932861328,-0.4013879001140594,0.2301783710718155,1.0004489421844482,-2.9473588466644287,2.4253883361816406,-0.0143635738641023,100.0,100.0,100.0,,unknown/manual
route_38,56,1775735950.605587,2026-04-09 11:59,15,2,0.4615493289380739,1.0561397113654047,0.5098874103037024,0.1146963050286493,0.0930023081600666,-0.0508750081062316,62.016960775108345,16.513484954833984,16.435401916503906,0.1005557104945182,-0.4146755039691925,1.0035849809646606,-3.0077602863311768,2.380895614624023,-0.0169030483812093,100.0,100.0,100.0,,unknown/manual
route_34,52,1775678600.2461717,2026-04-08 20:03,23,0,0.8998669905158455,,,,,,,16.65770721435547,16.677467346191406,-0.0892063528299331,-0.1088134422898292,0.9997361302375792,-2.996793508529663,2.408259868621826,-0.0164527744054794,100.0,100.0,100.0,,unknown/manual
route_1c,28,1775487330.8011544,2026-04-06 14:55,48,5,0.6048385738585648,1.2755583276749958,0.6568929988974624,0.1402246023244091,0.1013759523630142,0.0257042273879051,72.92661282989502,16.7442684173584,17.098236083984375,-0.7559530735015869,-0.3296360373497009,0.9957091808319092,-3.4575560092926025,2.59928560256958,-0.0258921943604946,100.0,100.0,100.0,,unknown/manual
route_3b,59,1775823090.2311492,2026-04-10 12:11,13,1,0.4933649289099526,1.2020642911708523,0.5197712334876725,0.1242484732550474,0.079783946275711,0.070043571293354,62.34905135591507,16.405302047729492,16.340373992919922,0.2558723390102386,-0.1521172374486923,1.000444412231445,-2.941037178039551,2.4294447898864746,-0.0140959983691573,100.0,100.0,100.0,,unknown/manual
route_39,57,1775736574.211552,2026-04-09 12:09,15,0,0.4197918087185781,,,,,,,16.435401916503906,16.425838470458984,-0.4146755039691925,-0.4013879001140594,0.999704360961914,-2.953486919403076,2.4154818058013916,-0.0146215427666902,100.0,100.0,100.0,,unknown/manual
route_25,37,1775496190.5133195,2026-04-06 17:23,47,5,0.2654844980211727,0.704725965553033,0.4257706945600696,0.1581527387626314,0.2549041211605072,0.2475502341985702,72.46567232398988,16.893569946289062,16.795835494995117,-0.0808493196964263,0.2229312658309936,1.0042959451675415,-2.996095895767212,2.385345458984375,-0.0166691988706588,100.0,100.0,100.0,,unknown/manual
route_2e,46,1775672420.4197054,2026-04-08 18:20,38,0,0.0430275412574208,,,,,,,16.349361419677734,16.370492935180664,-0.5320476293563843,-0.1053312346339225,0.9999265670776368,-3.003915309906006,2.3607847690582275,-0.0169155653566122,100.0,100.0,100.0,,unknown/manual
route_42,66,1774273224.207686,2026-03-23 13:40,6,2,0.5283405551001288,12.982402449486294,3.132014246708565,0.3575963160353327,0.1829510703682899,-0.0015796013176441,45.136254200735095,16.762039184570312,16.681108474731445,-0.5775226950645447,-0.5001909136772156,1.0024946928024292,-3.1268341541290283,2.4629383087158203,-0.0109837530180811,100.0,100.0,100.0,,unknown/manual
route_45,69,1774275560.5908673,2026-03-23 14:19,3,0,0.8836755913698986,,,,,,,16.81690216064453,16.8367862701416,-1.3445327281951904,-1.3123761415481567,0.999868869781494,-3.1516451835632324,2.439281225204468,-0.0120043521746993,100.0,100.0,100.0,0.0005000000237487,golden
