drive_id,pi_set,driving_model,wall_date,order,seg_t,weave_path,weave_steer,hunt_steer,centering_abs,centering_signed,spd_mph,elig_s,steerRatio,angleOffsetAvg,angleOffset,stiffness,cal_yaw,cal_pitch,cal_roll,int_abs,int_railed_frac
b5,weak,CD210,1764094628.5455053,2,540.0,4.1666794367266755,1.5109791090604923,0.26343737678545326,0.1617502123117447,-0.020589137449860573,44.21210867799759,45.0,16.681278228759766,-0.5318623781204224,-0.6327196359634399,0.9986515045166016,-2.9371681213378906,2.5168235301971436,-0.012743319384753704,0.11143186645455219,0.0008888888888888889
b5,weak,CD210,1764094628.5455053,2,585.0,1.8297946756489092,0.7565469935231538,0.14776824316717035,0.09354759752750397,-0.04735029116272926,49.120768376083376,32.74,16.684165954589844,-0.599800169467926,-0.6873217821121216,0.9985441565513611,-2.9444305896759033,2.522489070892334,-0.01306096464395523,0.14903898999958487,0.12339645693341478
b5,weak,CD210,1764094628.5455053,2,900.0,1.1918914862876577,0.5664943180869576,0.137945038503123,0.10722479969263077,-0.07265453040599823,62.3429756826973,45.0,16.714385986328125,-0.5691976547241211,-0.4403377175331116,0.9979636669158936,-2.952836513519287,2.4890260696411133,-0.01342745404690504,0.18409230279664146,0.2911111111111111
b5,weak,CD210,1764094628.5455053,2,1395.0,2.7381015493012635,1.070290720238254,0.17525263484804343,0.1680404096841812,-0.16456077992916107,49.03826252576829,27.88,16.66609764099121,-0.6039814949035645,-0.4317028820514679,0.9963886141777039,-2.9547998905181885,2.476778745651245,-0.013510058633983135,0.2974600422847115,0.9332855093256814
b5,weak,CD210,1764094628.5455053,2,1575.0,2.898059661607458,1.0946669154418944,0.12491150853036877,0.1540936976671219,-0.055221229791641235,50.141114546966556,25.26,16.670045852661133,-0.6370968818664551,-0.569797158241272,0.9961176514625549,-2.947328567504883,2.4830172061920166,-0.013185014016926289,0.24398903217090329,0.5724465558194775
b5,weak,CD210,1764094628.5455053,2,2115.0,1.2197955392545226,0.551298477814438,0.11596108904072447,0.11138968169689178,-0.059242866933345795,62.99510363023758,45.0,16.533254623413086,-0.5319766998291016,-0.34810906648635864,0.9967796802520752,-2.970525026321411,2.487946033477783,-0.01419318187981844,0.21812556055040724,0.4048888888888889
b5,weak,CD210,1764094628.5455053,2,2250.0,1.0135945150914492,0.509119675598243,0.09872296763128209,0.06544985622167587,-0.036653365939855576,58.80315150737763,45.0,16.54617691040039,-0.5453687906265259,-0.4413682222366333,0.996468186378479,-2.9664368629455566,2.5017261505126953,-0.014013269916176796,0.16600557320467246,0.20533333333333334
b5,weak,CD210,1764094628.5455053,2,2295.0,0.9110313493946774,0.4317660146362955,0.11038312022533457,0.11550658941268921,0.08893231302499771,63.20777779260636,45.0,16.54842185974121,-0.5436891317367554,-0.6633021235466003,0.9963852167129517,-2.968446969985962,2.485321044921875,-0.014100044965744019,0.19774729051199844,0.33644444444444443
b5,weak,CD210,1764094628.5455053,2,2340.0,2.7962403722346427,1.0460397828075139,0.14020879555950042,0.06760451942682266,-0.04256119579076767,51.84112972621918,28.46,16.54930305480957,-0.5520163774490356,-0.45417115092277527,0.9963420033454895,-2.959650993347168,2.4917798042297363,-0.013714279048144817,0.16412673497932248,0.24877020379479972
b2,weak,CD210,1764094628.939808,3,90.0,3.4293698652557545,1.2148942670720295,0.1036597633540241,0.0959613248705864,-0.04131051152944565,55.010785830821995,35.0,16.746522903442383,-0.6473970413208008,-0.29644012451171875,1.0000709295272827,-2.8888800144195557,2.498481035232544,-0.01066016685217619,0.11227785059299068,0.05942857142857143
