setting,drive_id,config_id,driving_model,controller_set,window_start_s,eligible_s,eligible_frac,speed_median_mps,speed_p25_mps,speed_p75_mps,road_curv_median,road_curv_abs_median,lat_median,lon_median,steer_rms_deg,steer_pp_sine_deg,actual_curv_rms_1pm,lat_accel_rms_mps2,lat_disp_pp_sine_cm,cmd_curv_rms_1pm,desired_curv_rms_1pm,controls_curv_rms_1pm,model_path_y20_rms_m,model_curv_rms_1pm,lane_center_y20_rms_m,lane_good_frac,steer_peak_freq_hz,x_m,y_m,speed_bin,curv_bin,x_cell_500m,y_cell_500m,speed_curve_stratum,gps_speed_curve_stratum
primary,drive_03,C,OPM7,set1,600.0,30.0,1.0,33.31897109554948,32.573771936598774,33.60877954967427,-0.0002200324907448597,0.00024236727865716473,33.920310974121094,-84.32542764228674,0.312862218693185,0.884907985660079,0.6036852766479606,0.06564430662682329,8.561694990023716,0.6033980419947577,0.6033974153297935,0.6318653754565476,0.012665009886483804,0.6313896154368349,0.0446445258192083,1.0,0.234375,26341.7642620472,2242.1124975639977,13,-1,52,4,13|-1,52|4|13|-1
primary,drive_03,C,OPM7,set1,630.0,30.0,1.0,33.132081790305705,32.649326658836536,33.61705773752935,-0.00021360521834453528,0.000244850452413975,33.91875094530113,-84.33605770362216,0.39777784214217543,1.1250856383379373,0.7082968687478812,0.07923942373888737,41.339382627305184,0.7215548511095454,0.7215517669692051,0.8115159959123607,0.013705637378311082,0.6498605964902265,0.03573120156766981,1.0,0.1171875,25359.579148645695,2069.66691180491,13,-1,50,4,13|-1,50|4|13|-1
primary,drive_03,C,OPM7,set1,810.0,30.0,1.0,32.079605086767,30.516460958235125,32.37876214411497,6.152382059674672e-05,0.0003280613734839961,33.91572095649528,-84.40304190703581,0.8857894046304007,2.505390778869404,1.7682749500880626,0.1705614516955478,16.343685293781032,1.6514820034275544,1.6514653898713763,1.9136911059646053,0.03310213575601936,1.5866951787355468,0.06688576163376543,1.0,0.2734375,19170.443888745176,1734.7319492063205,12,0,38,3,12|0,38|3|12|0
primary,drive_03,C,OPM7,set1,840.0,30.0,1.0,33.66067729188519,30.82587151825428,34.74928854334739,-7.8923266175773e-06,0.00028841238135001997,33.91597366333008,-84.41410450606456,0.5167343232776362,1.461545376245833,0.9845146505858666,0.10679186212023868,10.233101143777358,0.9399349774647364,0.939941826156504,1.0411864018310841,0.01769372899644371,0.8662177190964734,0.06514710439231386,1.0,0.2734375,18148.29361710358,1762.6661627251306,13,-1,36,3,13|-1,36|3|13|-1
primary,drive_03,C,OPM7,set1,870.0,20.65,0.6883333333333332,32.34766006340852,31.541769782968817,32.99745519145005,0.0004181103409854275,0.0004181103409854275,33.91417101710997,-84.42246668160037,0.7141138361071333,2.019818944201971,1.3215473236921806,0.14033707795288625,18.303540991822018,1.4923148808791438,1.492315062131055,1.468207372733609,0.026825172331604422,1.3888823571970594,0.10897379594482244,1.0,0.234375,17375.65420630784,1563.4016495545695,12,0,34,3,12|0,34|3|12|0
primary,drive_03,C,OPM7,set1,1500.0,30.0,1.0,23.97062343442292,23.528945159984797,24.38809715715882,-0.0008666004598663179,0.0008666004598663179,33.89448165893555,-84.50576707131006,0.6171442902502281,1.745547650425981,1.487569611608019,0.0844306769043302,8.0903885300438,1.3192858630611175,1.3192859297941555,1.5304798213050272,0.02570309375947822,0.9213584336000558,0.04932623120822339,0.925,0.2734375,9678.953300096595,-613.0600030463538,9,-2,19,-2,9|-2,19|-2|9|-2
primary,drive_03,C,OPM7,set1,1620.0,28.05,0.935,23.86691247687048,22.35172614630531,24.1057895610207,-0.00039731059178380165,0.00039731059178380165,33.89452362060547,-84.52893306582214,0.7045023694438765,1.9926336111830218,1.7960157139792707,0.0934613082945668,8.95572941439334,1.97654064044095,1.976546680864614,1.8446661639331465,0.034704350084534576,1.4312270326289351,0.077306333660661,1.0,0.2734375,7538.486351792552,-608.4215600531898,9,-1,15,-2,9|-1,15|-2|9|-1
primary,drive_03,C,OPM7,set1,1770.0,21.3,0.7100000000000001,20.91867631781262,20.63196842693513,21.16930888929219,-0.0004482424523784041,0.0004482424523784041,33.89480209350586,-84.55314366895972,0.5121469929059362,1.4485704465923448,1.2719786235683834,0.05475938550925902,7.142023134414945,1.6749410260121507,1.6750361568778245,1.355536755817162,0.026774740856583747,0.987812601984933,0.05699019913182106,0.9483568075117371,0.234375,5301.500765550832,-577.6391656440101,8,-1,10,-2,8|-1,10|-2|8|-1
primary,drive_03,C,OPM7,set1,1800.0,26.25,0.875,20.76344159245491,20.456084909110235,21.4412472981673,-0.0004891438593666923,0.0004891438593666923,33.894866943359375,-84.55876286316855,0.616710285734009,1.7443201002800446,1.6195166832615635,0.071408630043029,6.842578818844375,1.6347094372135056,1.6348090242619793,1.6614024457507108,0.025205090822658687,1.0660657559769962,0.07525704571526236,0.8419047619047619,0.2734375,4782.304429134746,-570.4706628363929,8,-1,9,-2,8|-1,9|-2|8|-1
primary,drive_03,C,OPM7,set1,1830.0,20.7,0.69,20.38189412880579,20.106974630972537,20.691950884115485,-0.00047294832954749086,0.00047294832954749086,33.8950080871582,-84.56688751955576,0.5820182075877604,1.6461960854373803,1.4312269193881793,0.06177886247104989,11.602860909980818,1.5648025476115894,1.5648055300479435,1.4873537933021483,0.025971596123872023,0.9926813009762366,0.04748714592070858,0.9106280193236715,0.1953125,4031.611060279853,-554.8686273139319,8,-1,8,-2,8|-1,8|-2|8|-1
primary,drive_03,C,OPM7,set1,1950.0,25.9,0.8633333333333333,23.364111362777955,22.663547793333915,24.076496890038253,-0.0006025761772773079,0.0006025761772773079,33.89669983567194,-84.59153719669165,1.9736020620236578,5.582189605682727,5.179158326980135,0.2880558070416801,150.27935165900553,6.271170408944849,6.271582416731102,5.26495039448895,0.10986117088798619,6.167961473886143,0.14283476463394196,0.9980694980694981,0.1171875,1754.0563812349826,-367.8627466056045,9,-2,3,-1,9|-2,3|-1|9|-2
primary,drive_03,C,OPM7,set1,2070.0,24.35,0.8116666666666668,21.497805600033868,21.206855096073618,21.627806840124336,-0.0004714341606686655,0.0004714341606686655,33.904701232910156,-84.60921358302528,0.6748178645791484,1.9086731524389646,1.9134652902377445,0.08869580939870568,26.02844996725236,1.8397741282100302,1.839769701148335,1.9597142035457293,0.030717710814075382,1.3520835896250225,0.06847999331723781,0.9075975359342916,0.15625,120.81241698991398,516.6117041069665,8,-1,0,1,8|-1,0|1|8|-1
