setting,subset,metric,comparison,config_low_reference,config_high_reference,a_n_drives,b_n_drives,a_median,b_median,diff,diff_pct_of_a,drive_boot_ci_low,drive_boot_ci_high,exact_drive_perm_p,a_n_windows,b_n_windows,matched_strata
strict_curve,all_eligible,desired_curv_rms_1pm,C-minus-A,A,C,3,2,1.7176719279373454,1.4114213222057381,-0.30625060573160723,-17.829400408223833,-0.7987010279512412,-0.08247444796370074,0.3,37,28,
strict_curve,all_eligible,desired_curv_rms_1pm,C-minus-B,B,C,1,2,1.6006050668894263,1.4114213222057381,-0.18918374468368815,-11.81951429476247,-0.3063227185674493,-0.072044770799927,0.6666666666666666,10,28,
broad_band,speed_curve_matched,steer_rms_deg,B-minus-A,A,B,3,1,0.7184270438052233,0.9014787648033575,0.18305172099813427,25.479514249433297,0.08982809139541215,0.2862643818881325,0.5,14,8,3.0
broad_band,speed_curve_matched,actual_curv_rms_1pm,B-minus-A,A,B,3,1,1.7502977007767426,2.0216822248613084,0.2713845240845658,15.505049453251951,0.10805875732595016,0.644714611625989,0.5,14,8,3.0
broad_band,speed_curve_matched,lat_accel_rms_mps2,B-minus-A,A,B,3,1,0.11040614702666302,0.15389820075694566,0.04349205373028264,39.39278283099521,0.023339508782970003,0.06185080558717873,0.25,14,8,3.0
broad_band,speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,A,B,3,1,1.5215848638065081,1.9264854159440432,0.40490055213753506,26.610448208889657,0.2899585184846689,0.8314614017717616,0.5,14,8,3.0
broad_band,speed_curve_matched,desired_curv_rms_1pm,B-minus-A,A,B,3,1,1.5215247094311302,1.9264474381003824,0.4049227286692523,26.612957788943522,0.2899348340441732,0.8314752066344386,0.5,14,8,3.0
broad_band,gps_speed_curve_matched,steer_rms_deg,B-minus-A,A,B,2,1,0.8359515965417529,0.8038098498601235,-0.03214174668162939,-3.844929157931696,-0.09968737767627067,0.03540388431301189,1.0,3,2,2.0
broad_band,gps_speed_curve_matched,actual_curv_rms_1pm,B-minus-A,A,B,2,1,1.9948064454821963,1.8786983737067948,-0.1161080717754015,-5.820518178009755,-0.3110231595667514,0.07880701601594842,1.0,3,2,2.0
broad_band,gps_speed_curve_matched,lat_accel_rms_mps2,B-minus-A,A,B,2,1,0.12637593189742508,0.1364851960461822,0.010109264148757124,7.999358736252454,-0.00159805616569908,0.02181658446321333,1.0,3,2,2.0
