setting,subset,metric,comparison,n_strata,a_n_windows,b_n_windows,weighted_mean_diff,weighted_median_diff,stratum_boot_ci_low,stratum_boot_ci_high,share_strata_b_less_than_a
primary,speed_curve_matched,desired_curv_rms_1pm,C-minus-A,8,36,19,0.032298819494987,0.011616543106910737,-0.4194791147587529,0.6177657532659582,0.5
primary,gps_speed_curve_matched,steer_rms_deg,C-minus-A,4,4,4,0.014829998152926127,-0.24464358600712932,-0.34507689971354194,0.4911637834617606,0.5
primary,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-A,4,4,4,0.07887417145600117,-0.56081063480025,-0.8142383197320858,1.3180524969537957,0.75
primary,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-A,4,4,4,-0.0014863247427847684,-0.03446217757965653,-0.05370854012792935,0.06910213283372213,0.75
primary,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,4,4,4,0.7170902049423681,-0.24588646029683958,-0.2506855363060928,2.4264927805142724,0.5
primary,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-A,4,4,4,0.7171570978747966,-0.24584705472889334,-0.2506904282620084,2.4268198850987712,0.5
primary,speed_curve_matched,steer_rms_deg,C-minus-B,4,10,8,-0.12374497391987173,-0.16285305442987902,-0.1771912882425743,-0.04964210610521261,0.75
primary,speed_curve_matched,actual_curv_rms_1pm,C-minus-B,4,10,8,-0.24925900649089128,-0.31996123365839924,-0.39745774367551656,-0.12733233780884343,1.0
primary,speed_curve_matched,lat_accel_rms_mps2,C-minus-B,4,10,8,-0.016496054940279697,-0.020220183310226396,-0.03528737158719074,-0.006321411436491543,0.75
primary,speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,4,10,8,-0.2929836008259471,-0.31513858228048997,-0.576883007727296,-0.046574480131485796,0.75
primary,speed_curve_matched,desired_curv_rms_1pm,C-minus-B,4,10,8,-0.2930018268932915,-0.31522411152425683,-0.5768122632694411,-0.04655693914299275,0.75
primary,gps_speed_curve_matched,steer_rms_deg,C-minus-B,3,3,3,-0.10708023691004293,-0.11606501154612861,-0.12276368437572954,-0.08911068763787156,1.0
primary,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-B,3,3,3,-0.2154076509627645,-0.27163090038740423,-0.27188998286779376,-0.10296115211348511,1.0
