setting,subset,metric,comparison,stratum,a_n_windows,b_n_windows,weight,a_median,b_median,diff
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,8|-2,4,1,1.0,2.7991904454289127,1.6287892220255058,-1.170401223403407
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,9|-1,8,4,4.0,1.890507186033314,1.9438258879076598,0.05331870187434573
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,9|-2,2,2,2.0,2.4238729730879354,3.7952281360029834,1.371355162915048
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,9|-3,3,1,1.0,1.6006505654023915,1.5336598889840398,-0.06699067641835166
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,9|0,3,2,2.0,4.386279170971955,4.749486490111268,0.36320731913931326
loose_curve,speed_curve_matched,desired_curv_rms_1pm,C-minus-A,10|-1,9,1,1.0,1.4544062229458508,1.3448987794527187,-0.10950744349313202
loose_curve,speed_curve_matched,desired_curv_rms_1pm,C-minus-A,11|-1,1,4,1.0,0.6073372847971569,0.9004682430691673,0.2931309582720104
loose_curve,speed_curve_matched,desired_curv_rms_1pm,C-minus-A,8|-1,8,4,4.0,2.2744249043704654,1.6549225905699019,-0.6195023138005635
loose_curve,speed_curve_matched,desired_curv_rms_1pm,C-minus-A,8|-2,4,1,1.0,2.7992835608627353,1.6287892222001457,-1.1704943386625897
loose_curve,speed_curve_matched,desired_curv_rms_1pm,C-minus-A,9|-1,8,4,4.0,1.8904456198206807,1.943835691298292,0.05339007147761121
loose_curve,speed_curve_matched,desired_curv_rms_1pm,C-minus-A,9|-2,2,2,2.0,2.423870128768835,3.7954341732626284,1.3715640444937933
loose_curve,speed_curve_matched,desired_curv_rms_1pm,C-minus-A,9|-3,3,1,1.0,1.6006338648015517,1.533659876285025,-0.06697398851652658
loose_curve,speed_curve_matched,desired_curv_rms_1pm,C-minus-A,9|0,3,2,2.0,4.386268553950671,4.749450110756188,0.36318155680551634
loose_curve,gps_speed_curve_matched,steer_rms_deg,C-minus-A,-8|-1|9|-3,1,1,1.0,0.6159813290526226,0.6290222144733536,0.013040885420731008
loose_curve,gps_speed_curve_matched,steer_rms_deg,C-minus-A,-9|-1|9|-1,1,1,1.0,0.937335729301459,0.6926921432943297,-0.24464358600712932
loose_curve,gps_speed_curve_matched,steer_rms_deg,C-minus-A,3|-1|9|-2,1,1,1.0,1.3881143150001747,1.9736020620236578,0.5854877470234832
loose_curve,gps_speed_curve_matched,steer_rms_deg,C-minus-A,3|-1|9|0,1,1,1.0,1.9436729436166096,1.4981627301966551,-0.44551021341995445
loose_curve,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-A,-8|-1|9|-3,1,1,1.0,1.581135696226174,1.5807688139758729,-0.000366882250301126
loose_curve,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-A,-9|-1|9|-1,1,1,1.0,2.3015880465022787,1.7407774117020287,-0.56081063480025
loose_curve,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-A,3|-1|9|-2,1,1,1.0,3.611739834047642,5.179158326980135,1.5674184929324926
loose_curve,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-A,3|-1|9|0,1,1,1.0,5.07913299736738,4.0114669927034585,-1.0676660046639217
loose_curve,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-A,-8|-1|9|-3,1,1,1.0,0.08718778532608315,0.08194482903744552,-0.005242956288637635
loose_curve,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-A,-9|-1|9|-1,1,1,1.0,0.12906307870562447,0.09460090112596795,-0.03446217757965653
loose_curve,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-A,3|-1|9|-2,1,1,1.0,0.2058983583434612,0.2880558070416801,0.0821574486982189
loose_curve,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-A,3|-1|9|0,1,1,1.0,0.29528863725208676,0.22542490251106018,-0.06986373474102658
loose_curve,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,-8|-1|9|-3,1,1,1.0,1.481213857387025,1.5336598889840398,0.052446031597014775
loose_curve,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,-9|-1|9|-1,1,1,1.0,1.9055731658779653,1.6596867055811257,-0.24588646029683958
loose_curve,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,3|-1|9|-2,1,1,1.0,3.1994832004034217,6.271170408944849,3.0716872085414275
loose_curve,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,3|-1|9|0,1,1,1.0,4.7321590395111155,4.4766744271957695,-0.255484612315346
loose_curve,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-A,-8|-1|9|-3,1,1,1.0,1.481359493303148,1.533659876285025,0.052300382981877114
loose_curve,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-A,-9|-1|9|-1,1,1,1.0,1.9055321290726863,1.659685074343793,-0.24584705472889334
loose_curve,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-A,3|-1|9|-2,1,1,1.0,3.1994740199457707,6.271582416731102,3.072108396785331
loose_curve,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-A,3|-1|9|0,1,1,1.0,4.732192228365042,4.4766584265699185,-0.2555338017951234
loose_curve,speed_curve_matched,steer_rms_deg,C-minus-B,10|-1,3,1,1.0,0.884118838989439,0.6382661406889014,-0.24585269830053758
